"state","party","winner","number_of_state_votes","number_of_state_wins","if_max_number_of_state_wins","if_candidate_won"
Alabama,REP,Donald Trump,1441168,54,true,true
Alaska,REP,Donald Trump,189892,20,true,true
Arizona,DEM,Joe Biden,1672143,5,false,true
Arkansas,REP,Donald Trump,760647,67,true,true
California,DEM,Joe Biden,11109764,35,true,true
Colorado,DEM,Joe Biden,1804352,24,false,true
Connecticut,DEM,Joe Biden,1080680,115,true,true
Delaware,DEM,Joe Biden,296268,2,true,true
District of Columbia,DEM,Joe Biden,317323,8,true,true
Florida,REP,Donald Trump,5668731,55,true,true
Georgia,DEM,Joe Biden,2473633,30,false,true
Hawaii,DEM,Joe Biden,366130,4,true,true
Idaho,REP,Donald Trump,554119,41,true,true
Illinois,DEM,Joe Biden,4253153,15,false,true
Indiana,REP,Donald Trump,1729852,87,true,true
Iowa,REP,Donald Trump,897672,93,true,true
Kansas,REP,Donald Trump,758100,100,true,true
Kentucky,REP,Donald Trump,1326646,118,true,true
Louisiana,REP,Donald Trump,1255776,54,true,true
Maine,DEM,Joe Biden,430473,148,false,true
Maryland,DEM,Joe Biden,1985023,10,false,true
Massachusetts,DEM,Joe Biden,2382202,298,true,true
Michigan,DEM,Joe Biden,2804040,11,false,true
Minnesota,DEM,Joe Biden,1717077,13,false,true
Mississippi,REP,Donald Trump,756764,54,true,true
Missouri,REP,Donald Trump,1718736,111,true,true
Montana,REP,Donald Trump,343602,49,true,true
Nebraska,REP,Donald Trump,556846,91,true,true
Nevada,DEM,Joe Biden,703486,2,false,true
New Hampshire,DEM,Joe Biden,424921,111,false,true
New Jersey,DEM,Joe Biden,2608335,14,true,true
New Mexico,DEM,Joe Biden,501614,14,false,true
New York,DEM,Joe Biden,5244006,21,false,true
North Carolina,REP,Donald Trump,2758773,75,true,true
North Dakota,REP,Donald Trump,235595,51,true,true
Ohio,REP,Donald Trump,3154834,81,true,true
Oklahoma,REP,Donald Trump,1020280,77,true,true
Oregon,DEM,Joe Biden,1340383,10,false,true
Pennsylvania,DEM,Joe Biden,3459923,13,false,true
Rhode Island,DEM,Joe Biden,306210,28,true,true
South Carolina,REP,Donald Trump,1385103,33,true,true
South Dakota,REP,Donald Trump,261043,60,true,true
Tennessee,REP,Donald Trump,1852948,92,true,true
Texas,REP,Donald Trump,5890347,232,true,true
Utah,REP,Donald Trump,865140,26,true,true
Vermont,DEM,Joe Biden,242820,201,true,true
Virginia,DEM,Joe Biden,2413568,46,false,true
Washington,DEM,Joe Biden,2369612,13,false,true
West Virginia,REP,Donald Trump,545382,55,true,true
Wisconsin,DEM,Joe Biden,1630673,14,false,true
Wyoming,REP,Donald Trump,193559,21,true,true
